PID,PLAYERNAME,PRICE,TYPE
694211,Avesh Khan,80k,BWL
588144,Bandaru Ayyappa,70k,BWL
604534,Ankush Bains,70k,WK
277912,Trent Boult,90k,BWL
28235,Shikhar Dhawan,100k,BAT
45705,Colin Ingram,90k,BAT
642519,Shreyas Iyer,90k,BAT
960361,Sandeep Lamichhane,80k,BWL
1079842,Manjot Kalra,75k,BAT
31107,Amit Mishra,80k,BWL
439952,Chris Morris,90k,ALL
232359,Colin Munro,90k,ALL
931581,Rishabh Pant,90k,WK
554691,Axar Patel,85k,ALL
390481,Harshal Patel,80k,ALL
677081,Keemo Paul,75k,ALL
550215,Kagiso Rabada,90k,BWL
914541,Sherfane Rutherford,80k,ALL
237199,Jalaj Saxena,70k,ALL
236779,Ishant Sharma,80k,BWL
1070168,Prithvi Shaw,90k,BAT
853259,Nathu Singh,75k,BWL
423838,Rahul Tewatia,75k,ALL
452044,Hanuma Vihari,80k,BAT
447587,Jayant Yadav,80k,ALL
