PID,Name,Price,Type
28081,MS Dhoni,95k,WK
1083030,KM Asif,70k,BWL
297628,Sam Billings,80k,WK
628217,Chaitanya Bishnoi,70k,ALL
51439,Dwayne Bravo,85k,ALL
447261,Deepak Chahar,80k,BWL
44828,Faf du Plessis,85k,BAT
1060380,Ruturaj Gaikwad,65k,BAT
29264,Harbhajan Singh,80k,BWL
40618,Imran Tahir,80k,BWL
234675,Ravindra Jadeja,80k,ALL
290716,Kedar Jadhav,85k,BAT
1048813,Narayan Jagadeesan,65k,WK
694209,Monu Kumar,65k,BWL
542023,Lungi Ngidi,85k,BWL
33335,Suresh Raina,95k,BAT
33141,Ambati Rayudu,85k,BAT
502714,Mitchell Santner,80k,BWL
30288,Karn Sharma,75k,BWL
537119,Mohit Sharma,75k,BWL
590327,Dhruv Shorey,75k,BAT
475281,Shardul Thakur,80k,BWL
237095,Murali Vijay,80k,BAT
8180,Shane Watson,90k,ALL
308251,David Willey,80k,BWL
