pid,name,Price ,Type
34102,Rohit Sharma,105k,BAT
851261,Anmolpreet Singh,65k,BAT
272477,Jason Behrendorff,75k,BWL
625383,Jasprit Bumrah,105k,BWL
1064812,Rahul Chahar,70k,BWL
230371,Ben Cutting,85k,ALL
379143,Quinton de Kock,90k,WK
720471,Ishan Kishan,80k,WK
652359,Pankaj Jaiswal,70k,ALL
422342,Siddhesh Lad,70k,BAT
431901,Evin Lewis,85k,BAT
319439,Mitchell McClenaghan,85k,BWL
49758,Lasith Malinga,80k,BWL
1081442,Mayank Markande,75k,BWL
450860,Adam Milne,75k,BWL
625371,Hardik Pandya,95k,ALL
471342,Krunal Pandya,85k,ALL
230559,Kieron Pollard,80k,ALL
1161489,Rasikh Salam,70k,ALL
1079839,Anukul Roy,70k,ALL
537126,Barinder Sran,75k,BWL
333904,Aditya Tare,75k,WK
446507,Suryakumar Yadav,80k,BAT
36084,Yuvraj Singh,90k,ALL
