pid,name,price ,Type
267192,Steven Smith,90k,BAT
360911,Varun Aaron,80k,BWL
669855,Jofra Archer,85k,ALL
27223,Stuart Binny,80k,ALL
1126227,Aryaman Birla,75k,BWL
308967,Jos Buttler,95k,WK
500135,Prashant Chopra,70k,WK
344580,Shreyas Gopal,75k,BWL
424377,Krishnappa Gowtham,75k,BWL
277955,Dhawal Kulkarni,75k,BWL
403902,Liam Livingstone,75k,BAT
853265,Mahipal Lomror,75k,ALL
1131619,S Midhun,70k,BWL
1079434,Riyan Parag,70k,BAT
277916,Ajinkya Rahane,80k,BAT
554701,Shubham Ranjane,65k,BWL
425943,Sanju Samson,80k,BAT
377534,Shashank Singh,65k,BAT
559066,Ish Sodhi,75k,BWL
311158,Ben Stokes,90k,ALL
914567,Oshane Thomas,80k,ALL
446763,Rahul Tripathi,75k,BAT
500268,Ashton Turner,80k,ALL
390484,Jaydev Unadkat,90k,BWL
532856,Manan Vohra,75k,BAT
